Date,Open,High,Low,Close,Adj Close,Volume,Adj Open,Adj High,Adj Low
2024-09-26,26.17,27.09,25.87,25.99,25.99,724500,26.17,27.09,25.87
2024-09-25,25.23,26.4,24.9,25.87,25.87,1177400,25.23,26.4,24.9
2024-09-24,26.4,26.73,25.13,25.92,25.92,1001100,26.4,26.73,25.13
2024-09-23,28.42,28.42,26.06,26.49,26.49,1168200,28.42,28.42,26.06
2024-09-20,29.94,29.94,27.76,28.28,28.28,4835600,29.94,29.94,27.76
2024-09-19,25.75,30.0,24.84,29.5,29.5,11932300,25.75,30.0,24.84
2024-09-18,18.51,19.76,18.51,19.07,19.07,2315300,18.51,19.76,18.51
2024-09-17,17.11,19.84,17.0,18.08,18.08,2953000,17.11,19.84,17.0
2024-09-16,18.88,19.09,16.6,16.86,16.86,990900,18.88,19.09,16.6
2024-09-13,17.67,18.93,17.55,18.83,18.83,739700,17.67,18.93,17.55
2024-09-12,16.95,18.26,16.86,17.57,17.57,1160900,16.95,18.26,16.86
2024-09-11,17.12,17.32,16.72,16.85,16.85,447300,17.12,17.32,16.72
2024-09-10,17.7,17.83,16.98,17.27,17.27,356600,17.7,17.83,16.98
2024-09-09,17.59,17.98,17.27,17.6,17.6,487000,17.59,17.98,17.27
2024-09-06,17.44,17.58,17.02,17.52,17.52,733600,17.44,17.58,17.02
2024-09-05,17.95,18.16,17.38,17.47,17.47,600200,17.95,18.16,17.38
2024-09-04,17.81,18.28,17.61,17.93,17.93,507100,17.81,18.28,17.61
2024-09-03,18.75,20.4,17.68,17.88,17.88,1075300,18.75,20.4,17.68
2024-08-30,18.58,18.94,18.26,18.75,18.75,1131000,18.58,18.94,18.26
2024-08-29,19.0,19.22,18.22,18.42,18.42,913600,19.0,19.22,18.22
2024-08-28,19.63,19.78,18.84,18.85,18.85,515000,19.63,19.78,18.84
2024-08-27,20.19,20.34,19.54,19.78,19.78,508600,20.19,20.34,19.54
2024-08-26,19.37,20.31,19.22,20.19,20.19,719700,19.37,20.31,19.22
2024-08-23,19.66,20.42,19.23,19.33,19.33,866800,19.66,20.42,19.23
2024-08-22,20.96,21.04,19.49,19.59,19.59,684900,20.96,21.04,19.49
2024-08-21,19.77,21.0,19.46,20.94,20.94,1128500,19.77,21.0,19.46
2024-08-20,18.8,20.3,18.79,19.72,19.72,692800,18.8,20.3,18.79
2024-08-19,18.48,19.2,18.22,18.82,18.82,542200,18.48,19.2,18.22
2024-08-16,18.88,19.2,18.05,18.45,18.45,560400,18.88,19.2,18.05
2024-08-15,17.53,18.97,17.53,18.87,18.87,1221400,17.53,18.97,17.53
2024-08-14,17.18,17.37,16.78,17.05,17.05,1634000,17.18,17.37,16.78
2024-08-13,17.02,17.36,16.62,17.09,17.09,944400,17.02,17.36,16.62
2024-08-12,16.5,17.5,16.25,17.05,17.05,688500,16.5,17.5,16.25
2024-08-09,16.22,16.7,15.94,16.45,16.45,418700,16.22,16.7,15.94
2024-08-08,15.92,16.54,15.51,16.19,16.19,573300,15.92,16.54,15.51
2024-08-07,16.56,16.56,15.47,15.88,15.88,552600,16.56,16.56,15.47
2024-08-06,16.02,16.5,15.55,16.07,16.07,611600,16.02,16.5,15.55
2024-08-05,15.05,16.06,15.02,15.89,15.89,922100,15.05,16.06,15.02
2024-08-02,16.46,16.53,15.68,16.25,16.25,959600,16.46,16.53,15.68
2024-08-01,17.06,17.59,16.65,16.75,16.75,2157500,17.06,17.59,16.65
2024-07-31,17.23,17.55,16.89,17.03,17.03,636100,17.23,17.55,16.89
2024-07-30,18.14,18.4,16.73,17.04,17.04,1047700,18.14,18.4,16.73
2024-07-29,19.1,19.39,17.9,18.03,18.03,768900,19.1,19.39,17.9
2024-07-26,18.8,20.26,18.73,18.98,18.98,997800,18.8,20.26,18.73
2024-07-25,21.29,21.52,18.41,18.73,18.73,2140700,21.29,21.52,18.41
2024-07-24,21.6,22.07,20.84,21.18,21.18,462400,21.6,22.07,20.84
2024-07-23,22.0,22.23,21.73,21.78,21.78,638800,22.0,22.23,21.73
2024-07-22,21.45,22.06,21.23,21.96,21.96,811300,21.45,22.06,21.23
2024-07-19,20.96,21.77,20.6,21.36,21.36,637200,20.96,21.77,20.6
2024-07-18,21.29,21.65,20.5,20.85,20.85,457800,21.29,21.65,20.5
2024-07-17,21.87,22.0,20.94,21.49,21.49,826200,21.87,22.0,20.94
2024-07-16,23.2,23.42,22.15,22.2,22.2,788900,23.2,23.42,22.15
2024-07-15,22.75,23.5,22.42,22.87,22.87,647100,22.75,23.5,22.42
2024-07-12,22.66,23.23,21.71,22.42,22.42,918500,22.66,23.23,21.71
2024-07-11,22.26,23.0,21.91,22.33,22.33,800500,22.26,23.0,21.91
2024-07-10,22.92,23.21,21.45,21.52,21.52,964700,22.92,23.21,21.45
2024-07-09,21.0,23.1,20.8,22.85,22.85,1483400,21.0,23.1,20.8
2024-07-08,19.56,20.99,19.35,20.92,20.92,910900,19.56,20.99,19.35
2024-07-05,18.48,19.47,18.24,19.43,19.43,434900,18.48,19.47,18.24
2024-07-03,18.4,18.87,17.71,18.28,18.28,505700,18.4,18.87,17.71
2024-07-02,19.33,19.81,17.99,18.38,18.38,626900,19.33,19.81,17.99
2024-07-01,17.99,19.76,17.51,19.38,19.38,1361800,17.99,19.76,17.51
2024-06-28,17.66,18.5,17.56,18.01,18.01,5307500,17.66,18.5,17.56
2024-06-27,17.48,17.55,17.06,17.5,17.5,1085000,17.48,17.55,17.06
2024-06-26,17.77,17.84,16.85,17.48,17.48,1515800,17.77,17.84,16.85
2024-06-25,16.73,17.5,16.52,17.39,17.39,659000,16.73,17.5,16.52
2024-06-24,17.17,17.43,16.55,16.71,16.71,344200,17.17,17.43,16.55
2024-06-21,17.02,17.76,17.01,17.05,17.05,1455800,17.02,17.76,17.01
2024-06-20,16.04,17.14,16.04,16.81,16.81,844500,16.04,17.14,16.04
2024-06-18,17.27,17.27,15.87,16.18,16.18,502400,17.27,17.27,15.87
2024-06-17,17.46,17.72,17.13,17.37,17.37,605100,17.46,17.72,17.13
2024-06-14,17.62,18.0,17.2,17.51,17.51,464100,17.62,18.0,17.2
2024-06-13,17.8,18.13,17.55,17.91,17.91,402900,17.8,18.13,17.55
2024-06-12,17.7,18.17,17.2,17.88,17.88,470200,17.7,18.17,17.2
2024-06-11,16.8,17.17,16.5,17.1,17.1,354000,16.8,17.17,16.5
2024-06-10,17.45,17.74,16.96,17.13,17.13,462100,17.45,17.74,16.96
2024-06-07,17.36,17.95,17.15,17.66,17.66,341300,17.36,17.95,17.15
2024-06-06,17.96,18.44,17.55,17.61,17.61,265600,17.96,18.44,17.55
2024-06-05,17.58,18.16,17.36,18.01,18.01,443200,17.58,18.16,17.36
2024-06-04,17.43,17.56,16.89,17.44,17.44,444400,17.43,17.56,16.89
2024-06-03,17.41,17.99,17.0,17.41,17.41,792300,17.41,17.99,17.0
2024-05-31,17.65,17.91,17.03,17.13,17.13,964700,17.65,17.91,17.03
2024-05-30,17.33,17.56,17.04,17.5,17.5,610900,17.33,17.56,17.04
2024-05-29,16.8,17.28,16.63,17.2,17.2,478900,16.8,17.28,16.63
2024-05-28,17.31,17.37,16.79,17.16,17.16,438600,17.31,17.37,16.79
2024-05-24,17.33,17.48,17.05,17.11,17.11,346700,17.33,17.48,17.05
2024-05-23,18.18,18.36,17.16,17.31,17.31,426400,18.18,18.36,17.16
2024-05-22,17.88,18.71,17.82,18.18,18.18,722100,17.88,18.71,17.82
2024-05-21,18.6,18.89,17.62,17.89,17.89,847100,18.6,18.89,17.62
2024-05-20,18.37,18.88,17.74,18.77,18.77,413200,18.37,18.88,17.74
2024-05-17,18.29,18.29,17.42,18.11,18.11,525900,18.29,18.29,17.42
2024-05-16,17.66,18.2,17.46,18.18,18.18,499000,17.66,18.2,17.46
2024-05-15,17.75,18.14,17.35,17.68,17.68,912500,17.75,18.14,17.35
2024-05-14,17.48,17.95,17.05,17.44,17.44,998700,17.48,17.95,17.05
2024-05-13,18.57,18.57,17.41,17.48,17.48,637400,18.57,18.57,17.41
2024-05-10,19.1,19.99,17.95,18.33,18.33,1139400,19.1,19.99,17.95
2024-05-09,19.65,20.83,19.39,20.0,20.0,1026500,19.65,20.83,19.39
2024-05-08,20.81,21.6,20.36,20.89,20.89,686900,20.81,21.6,20.36
2024-05-07,20.37,21.6,20.02,21.23,21.23,777000,20.37,21.6,20.02
2024-05-06,19.3,20.44,18.98,20.34,20.34,587400,19.3,20.44,18.98
2024-05-03,19.74,20.12,19.44,19.52,19.52,545100,19.74,20.12,19.44
2024-05-02,19.13,19.55,18.53,19.29,19.29,1158700,19.13,19.55,18.53
2024-05-01,18.02,20.9,17.37,19.01,19.01,984900,18.02,20.9,17.37
2024-04-30,16.8,18.29,16.66,17.94,17.94,536800,16.8,18.29,16.66
2024-04-29,16.32,17.61,16.27,17.05,17.05,607500,16.32,17.61,16.27
2024-04-26,16.06,16.93,15.98,16.17,16.17,676100,16.06,16.93,15.98
2024-04-25,15.66,15.97,15.08,15.94,15.94,607500,15.66,15.97,15.08
2024-04-24,15.65,16.33,15.6,16.11,16.11,526400,15.65,16.33,15.6
2024-04-23,15.11,15.9,15.1,15.65,15.65,557800,15.11,15.9,15.1
2024-04-22,15.93,15.95,14.9,15.08,15.08,378800,15.93,15.95,14.9
2024-04-19,15.26,15.76,14.9,15.23,15.23,543700,15.26,15.76,14.9
2024-04-18,15.64,16.05,15.27,15.45,15.45,531500,15.64,16.05,15.27
2024-04-17,16.85,16.99,15.62,15.65,15.65,681600,16.85,16.99,15.62
2024-04-16,16.28,16.88,15.9,16.63,16.63,561100,16.28,16.88,15.9
2024-04-15,16.4,16.75,16.13,16.48,16.48,403500,16.4,16.75,16.13
2024-04-12,16.3,16.48,15.79,16.37,16.37,411600,16.3,16.48,15.79
2024-04-11,15.91,16.63,15.56,16.49,16.49,318100,15.91,16.63,15.56
2024-04-10,15.55,16.06,15.55,15.93,15.93,562600,15.55,16.06,15.55
2024-04-09,16.91,16.91,15.67,16.19,16.19,481400,16.91,16.91,15.67
2024-04-08,17.08,17.43,16.67,16.88,16.88,678900,17.08,17.43,16.67
2024-04-05,16.42,17.77,16.08,16.96,16.96,525800,16.42,17.77,16.08
2024-04-04,18.69,19.21,16.33,16.52,16.52,1100000,18.69,19.21,16.33
2024-04-03,17.42,18.63,17.29,18.5,18.5,495300,17.42,18.63,17.29
2024-04-02,17.61,17.84,17.36,17.67,17.67,392200,17.61,17.84,17.36
2024-04-01,18.28,18.38,17.55,18.02,18.02,376000,18.28,18.38,17.55
2024-03-28,18.18,18.27,17.56,18.24,18.24,479100,18.18,18.27,17.56
2024-03-27,17.38,18.11,17.26,17.96,17.96,414800,17.38,18.11,17.26
2024-03-26,16.19,17.56,16.1,17.14,17.14,683200,16.19,17.56,16.1
2024-03-25,16.42,16.42,15.71,16.0,16.0,345500,16.42,16.42,15.71
2024-03-22,16.82,17.07,16.24,16.25,16.25,524900,16.82,17.07,16.24
2024-03-21,16.85,17.09,16.22,16.89,16.89,765500,16.85,17.09,16.22
2024-03-20,15.93,16.84,15.63,16.77,16.77,501000,15.93,16.84,15.63
2024-03-19,15.47,16.53,15.47,16.19,16.19,706100,15.47,16.53,15.47
2024-03-18,16.82,16.82,15.43,15.53,15.53,1147000,16.82,16.82,15.43
2024-03-15,16.87,18.03,16.87,16.92,16.92,4674100,16.87,18.03,16.87
2024-03-14,17.38,17.43,16.68,17.07,17.07,555700,17.38,17.43,16.68
2024-03-13,17.59,18.37,17.37,17.41,17.41,492500,17.59,18.37,17.37
2024-03-12,16.73,18.0,16.54,17.72,17.72,1521700,16.73,18.0,16.54
2024-03-11,16.88,17.12,16.7,16.75,16.75,455200,16.88,17.12,16.7
2024-03-08,17.75,17.9,16.79,17.16,17.16,891600,17.75,17.9,16.79
2024-03-07,17.75,17.99,17.42,17.74,17.74,630800,17.75,17.99,17.42
2024-03-06,17.29,17.29,16.82,17.0,17.0,658800,17.29,17.29,16.82
2024-03-05,16.87,17.63,16.75,16.97,16.97,692300,16.87,17.63,16.75
2024-03-04,16.96,17.07,16.5,17.0,17.0,797300,16.96,17.07,16.5
